Bidding Exercise,Announcement Date,Year,Category,Quota,Total Bids Received,Number of Successful Bids,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
October 2007 Second Open Bidding Exercise,2007-10-15,2007,Cat A (Cars up to 1600cc and 97kW),2158,2472,2158,,,,,,,,,,,
November 2007 First Open Bidding Exercise,2007-11-01,2007,Cat A (Cars up to 1600cc and 97kW),2164,3040,2149,,,,,,,,,,,
November 2007 Second Open Bidding Exercise,2007-11-15,2007,Cat A (Cars up to 1600cc and 97kW),2158,2450,2154,,,,,,,,,,,
December 2007 First Open Bidding Exercise,2007-12-01,2007,Cat A (Cars up to 1600cc and 97kW),2174,2373,2171,,,,,,,,,,,
December 2007 Second Open Bidding Exercise,2007-12-15,2007,Cat A (Cars up to 1600cc and 97kW),2162,2588,2089,,,,,,,,,,,
January 2008 First Open Bidding Exercise,2008-01-09,2008,Cat A (Cars up to 1600cc and 97kW),2162,2553,2154,,,,,,,,,,,
January 2008 Second Open Bidding Exercise,2008-01-23,2008,Cat A (Cars up to 1600cc and 97kW),2231,2611,2098,,,,,,,,,,,
February 2008 First Open Bidding Exercise,2008-02-05,2008,Cat A (Cars up to 1600cc and 97kW),2167,3005,2155,,,,,,,,,,,
February 2008 Second Open Bidding Exercise,2008-02-20,2008,Cat A (Cars up to 1600cc and 97kW),2291,2923,2288,,,,,,,,,,,
March 2008 First Open Bidding Exercise,2008-03-05,2008,Cat A (Cars up to 1600cc and 97kW),2171,2727,2164,,,,,,,,,,,
March 2008 Second Open Bidding Exercise,2008-03-19,2008,Cat A (Cars up to 1600cc and 97kW),2161,2474,2161,,,,,,,,,,,
April 2008 First Open Bidding Exercise,2008-04-09,2008,Cat A (Cars up to 1600cc and 97kW),2043,2570,2026,,,,,,,,,,,
April 2008 Second Open Bidding Exercise,2008-04-23,2008,Cat A (Cars up to 1600cc and 97kW),2036,2197,2009,,,,,,,,,,,
May 2008 First Open Bidding Exercise,2008-05-07,2008,Cat A (Cars up to 1600cc and 97kW),2053,2211,2051,,,,,,,,,,,
May 2008 Second Open Bidding Exercise,2008-05-22,2008,Cat A (Cars up to 1600cc and 97kW),2063,2824,2062,,,,,,,,,,,
June 2008 First Open Bidding Exercise,2008-06-04,2008,Cat A (Cars up to 1600cc and 97kW),2038,2500,2038,,,,,,,,,,,
June 2008 Second Open Bidding Exercise,2008-06-18,2008,Cat A (Cars up to 1600cc and 97kW),2037,2319,2024,,,,,,,,,,,
July 2008 First Open Bidding Exercise,2008-07-09,2008,Cat A (Cars up to 1600cc and 97kW),2036,2463,2036,,,,,,,,,,,
July 2008 Second Open Bidding Exercise,2008-07-23,2008,Cat A (Cars up to 1600cc and 97kW),2048,2464,2047,,,,,,,,,,,
August 2008 First Open Bidding Exercise,2008-08-06,2008,Cat A (Cars up to 1600cc and 97kW),2035,2267,2032,,,,,,,,,,,
